,접수번호,법인구분,고유번호,법인명,취득방법 대분류,취득방법 중분류,취득방법 소분류,주식 종류,기초 수량,변동 수량 취득,변동 수량 처분,변동 수량 소각,기말 수량,비고
0,20210316001214,Y,00266961,NAVER,,,,,,,,,,
1,20210316001214,Y,00266961,NAVER,,,,,,,,,,
2,20210316001214,Y,00266961,NAVER,,,,,,,,,,
3,20210316001214,Y,00266961,NAVER,,,,,,,,,,
4,20210316001214,Y,00266961,NAVER,,,,,,,,,,
5,20210316001214,Y,00266961,NAVER,,,,,,,,,,
6,20210316001214,Y,00266961,NAVER,,,,,,,,,,
7,20210316001214,Y,00266961,NAVER,,,,보통주,,,,,,
8,20210316001214,Y,00266961,NAVER,,,,종류주식,,,,,,
9,20210316001214,Y,00266961,NAVER,,,,보통주,,,,,,
10,20210316001214,Y,00266961,NAVER,,,,종류주식,,,,,,
11,20210316001214,Y,00266961,NAVER,,,,보통주,,,,,,
12,20210316001214,Y,00266961,NAVER,,,,종류주식,,,,,,
13,20210316001214,Y,00266961,NAVER,,,,보통주,,,,,,
14,20210316001214,Y,00266961,NAVER,,,,종류주식,,,,,,
