,접수번호,법인구분,고유번호,법인명,취득방법 대분류,취득방법 중분류,취득방법 소분류,주식 종류,기초 수량,변동 수량 취득,변동 수량 처분,변동 수량 소각,기말 수량,비고
0,20160330003610,Y,00266961,NAVER,,,,,,,,,,
1,20160330003610,Y,00266961,NAVER,,,,,,,,,,
2,20160330003610,Y,00266961,NAVER,,,,,,,,,,
3,20160330003610,Y,00266961,NAVER,,,,,,,,,,
4,20160330003610,Y,00266961,NAVER,,,,,,,,,,
5,20160330003610,Y,00266961,NAVER,,,,,,,,,,
6,20160330003610,Y,00266961,NAVER,,,,보통주,,,,,,
7,20160330003610,Y,00266961,NAVER,,,,종류주식,,,,,,
8,20160330003610,Y,00266961,NAVER,,,,보통주,,,,,,
9,20160330003610,Y,00266961,NAVER,,,,종류주식,,,,,,
10,20160330003610,Y,00266961,NAVER,,,,보통주,,,,,,
11,20160330003610,Y,00266961,NAVER,,,,종류주식,,,,,,
12,20160330003610,Y,00266961,NAVER,,,,보통주,,,,,,
13,20160330003610,Y,00266961,NAVER,,,,종류주식,,,,,,
0,20170908000444,Y,00266961,NAVER,,,,,,,,,,
1,20170908000444,Y,00266961,NAVER,,,,,,,,,,
2,20170908000444,Y,00266961,NAVER,,,,,,,,,,
3,20170908000444,Y,00266961,NAVER,,,,,,,,,,
4,20170908000444,Y,00266961,NAVER,,,,,,,,,,
5,20170908000444,Y,00266961,NAVER,,,,,,,,,,
6,20170908000444,Y,00266961,NAVER,,,,,,,,,,
7,20170908000444,Y,00266961,NAVER,,,,보통주,,,,,,
8,20170908000444,Y,00266961,NAVER,,,,종류주식,,,,,,
9,20170908000444,Y,00266961,NAVER,,,,보통주,,,,,,
10,20170908000444,Y,00266961,NAVER,,,,종류주식,,,,,,
11,20170908000444,Y,00266961,NAVER,,,,보통주,,,,,,
12,20170908000444,Y,00266961,NAVER,,,,종류주식,,,,,,
13,20170908000444,Y,00266961,NAVER,,,,보통주,,,,,,
14,20170908000444,Y,00266961,NAVER,,,,종류주식,,,,,,
0,20180402004149,Y,00266961,NAVER,,,,,,,,,,
1,20180402004149,Y,00266961,NAVER,,,,,,,,,,
2,20180402004149,Y,00266961,NAVER,,,,,,,,,,
3,20180402004149,Y,00266961,NAVER,,,,,,,,,,
4,20180402004149,Y,00266961,NAVER,,,,,,,,,,
5,20180402004149,Y,00266961,NAVER,,,,,,,,,,
6,20180402004149,Y,00266961,NAVER,,,,,,,,,,
7,20180402004149,Y,00266961,NAVER,,,,보통주,,,,,,
8,20180402004149,Y,00266961,NAVER,,,,종류주식,,,,,,
9,20180402004149,Y,00266961,NAVER,,,,보통주,,,,,,
10,20180402004149,Y,00266961,NAVER,,,,종류주식,,,,,,
11,20180402004149,Y,00266961,NAVER,,,,보통주,,,,,,
12,20180402004149,Y,00266961,NAVER,,,,종류주식,,,,,,
13,20180402004149,Y,00266961,NAVER,,,,보통주,,,,,,
14,20180402004149,Y,00266961,NAVER,,,,종류주식,,,,,,
0,20190401004489,Y,00266961,NAVER,,,,,,,,,,
1,20190401004489,Y,00266961,NAVER,,,,,,,,,,
2,20190401004489,Y,00266961,NAVER,,,,,,,,,,
3,20190401004489,Y,00266961,NAVER,,,,,,,,,,
4,20190401004489,Y,00266961,NAVER,,,,,,,,,,
5,20190401004489,Y,00266961,NAVER,,,,,,,,,,
6,20190401004489,Y,00266961,NAVER,,,,,,,,,,
7,20190401004489,Y,00266961,NAVER,,,,보통주,,,,,,
8,20190401004489,Y,00266961,NAVER,,,,종류주식,,,,,,
9,20190401004489,Y,00266961,NAVER,,,,보통주,,,,,,
10,20190401004489,Y,00266961,NAVER,,,,종류주식,,,,,,
11,20190401004489,Y,00266961,NAVER,,,,보통주,,,,,,
12,20190401004489,Y,00266961,NAVER,,,,종류주식,,,,,,
13,20190401004489,Y,00266961,NAVER,,,,보통주,,,,,,
14,20190401004489,Y,00266961,NAVER,,,,종류주식,,,,,,
0,20200330004603,Y,00266961,NAVER,,,,,,,,,,
1,20200330004603,Y,00266961,NAVER,,,,,,,,,,
2,20200330004603,Y,00266961,NAVER,,,,,,,,,,
3,20200330004603,Y,00266961,NAVER,,,,,,,,,,
4,20200330004603,Y,00266961,NAVER,,,,,,,,,,
5,20200330004603,Y,00266961,NAVER,,,,,,,,,,
6,20200330004603,Y,00266961,NAVER,,,,,,,,,,
7,20200330004603,Y,00266961,NAVER,,,,보통주,,,,,,
8,20200330004603,Y,00266961,NAVER,,,,우선주,,,,,,
9,20200330004603,Y,00266961,NAVER,,,,보통주,,,,,,
10,20200330004603,Y,00266961,NAVER,,,,우선주,,,,,,
11,20200330004603,Y,00266961,NAVER,,,,보통주,,,,,,
12,20200330004603,Y,00266961,NAVER,,,,우선주,,,,,,
13,20200330004603,Y,00266961,NAVER,,,,보통주,,,,,,
14,20200330004603,Y,00266961,NAVER,,,,우선주,,,,,,
