,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
7,20200330004041,Y,00164742,현대자동차,현금배당수익률(%),보통주,3.30,3.30,2.60
8,20200330004041,Y,00164742,현대자동차,현금배당수익률(%),우선주,4.90,4.90,4.00
9,20200330004041,Y,00164742,현대자동차,주식배당수익률(%),보통주,-,-,-
10,20200330004041,Y,00164742,현대자동차,주식배당수익률(%),우선주,-,-,-
11,20200330004041,Y,00164742,현대자동차,주당 현금배당금(원),보통주,"4,000","4,000","4,000"
12,20200330004041,Y,00164742,현대자동차,주당 현금배당금(원),우선주,"4,100","4,100","4,100"
13,20200330004041,Y,00164742,현대자동차,주당 주식배당(주),보통주,-,-,-
14,20200330004041,Y,00164742,현대자동차,주당 주식배당(주),우선주,-,-,-
0,20210316000986,Y,00164742,현대자동차,주당액면가액(원),,"5,000","5,000","5,000"
1,20210316000986,Y,00164742,현대자동차,(연결)당기순이익(백만원),,"1,424,436","1,424,436","1,508,084"
2,20210316000986,Y,00164742,현대자동차,(별도)당기순이익(백만원),,"526,975","526,975","414,941"
3,20210316000986,Y,00164742,현대자동차,(연결)주당순이익(원),,"5,454","5,454","5,632"
4,20210316000986,Y,00164742,현대자동차,현금배당금총액(백만원),,"785,516","785,516","1,066,184"
5,20210316000986,Y,00164742,현대자동차,주식배당금총액(백만원),,-,-,-
6,20210316000986,Y,00164742,현대자동차,(연결)현금배당성향(%),,55.10,55.10,70.70
7,20210316000986,Y,00164742,현대자동차,현금배당수익률(%),보통주,1.60,1.60,3.30
8,20210316000986,Y,00164742,현대자동차,현금배당수익률(%),우선주,3.40,3.40,5.40
9,20210316000986,Y,00164742,현대자동차,주식배당수익률(%),보통주,-,-,-
10,20210316000986,Y,00164742,현대자동차,주식배당수익률(%),우선주,-,-,-
11,20210316000986,Y,00164742,현대자동차,주당 현금배당금(원),보통주,"3,000","3,000","4,000"
12,20210316000986,Y,00164742,현대자동차,주당 현금배당금(원),우선주,"3,100","3,100","4,100"
13,20210316000986,Y,00164742,현대자동차,주당 주식배당(주),보통주,-,-,-
14,20210316000986,Y,00164742,현대자동차,주당 주식배당(주),우선주,-,-,-
