,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
0,20160330003641,Y,00164742,현대자동차,주당액면가액(원),,"5,000","5,000","5,000"
1,20160330003641,Y,00164742,현대자동차,(연결)당기순이익(백만원),,"6,417,303","6,417,303","8,541,834"
2,20160330003641,Y,00164742,현대자동차,주당순이익(원),,"23,861","23,861","31,441"
3,20160330003641,Y,00164742,현대자동차,현금배당금총액(백만원),,"1,079,557","1,079,557","534,409"
4,20160330003641,Y,00164742,현대자동차,주식배당금총액(백만원),,-,-,-
5,20160330003641,Y,00164742,현대자동차,(연결)현금배당성향(%),,16.80,16.80,6.30
6,20160330003641,Y,00164742,현대자동차,현금배당수익률(%),보통주,2.60,2.60,0.90
7,20160330003641,Y,00164742,현대자동차,현금배당수익률(%),우선주,3.70,3.70,1.60
8,20160330003641,Y,00164742,현대자동차,주식배당수익률(%),보통주,-,-,-
9,20160330003641,Y,00164742,현대자동차,주식배당수익률(%),우선주,-,-,-
10,20160330003641,Y,00164742,현대자동차,주당 현금배당금(원),보통주,"4,000","4,000","1,950"
11,20160330003641,Y,00164742,현대자동차,주당 현금배당금(원),우선주,"4,100","4,100","2,050"
12,20160330003641,Y,00164742,현대자동차,주당 주식배당(주),보통주,-,-,-
13,20160330003641,Y,00164742,현대자동차,주당 주식배당(주),우선주,-,-,-
0,20170331004820,Y,00164742,현대자동차,주당액면가액(원),,"5,000","5,000","5,000"
1,20170331004820,Y,00164742,현대자동차,(연결)당기순이익(백만원),,"5,406,435","5,406,435","7,346,807"
2,20170331004820,Y,00164742,현대자동차,(개별)당기순이익(백만원),,"4,101,860","4,101,860","4,913,720"
3,20170331004820,Y,00164742,현대자동차,(연결)주당순이익(원),,"20,118","20,118","27,037"
4,20170331004820,Y,00164742,현대자동차,현금배당금총액(백만원),,"1,079,504","1,079,504","817,317"
5,20170331004820,Y,00164742,현대자동차,주식배당금총액(백만원),,-,-,-
6,20170331004820,Y,00164742,현대자동차,(연결)현금배당성향(%),,20.00,20.00,11.10
7,20170331004820,Y,00164742,현대자동차,현금배당수익률(%),보통주,2.80,2.80,1.70
8,20170331004820,Y,00164742,현대자동차,현금배당수익률(%),우선주,4.00,4.00,2.30
9,20170331004820,Y,00164742,현대자동차,주식배당수익률(%),보통주,-,-,-
10,20170331004820,Y,00164742,현대자동차,주식배당수익률(%),우선주,-,-,-
11,20170331004820,Y,00164742,현대자동차,주당 현금배당금(원),보통주,"4,000","4,000","3,000"
12,20170331004820,Y,00164742,현대자동차,주당 현금배당금(원),우선주,"4,100","4,100","3,100"
13,20170331004820,Y,00164742,현대자동차,주당 주식배당(주),보통주,-,-,-
14,20170331004820,Y,00164742,현대자동차,주당 주식배당(주),우선주,-,-,-
0,20180402004162,Y,00164742,현대자동차,주당액면가액(원),,"5,000","5,000","5,000"
1,20180402004162,Y,00164742,현대자동차,(연결)당기순이익(백만원),,"4,032,824","4,032,824","6,417,303"
2,20180402004162,Y,00164742,현대자동차,(별도)당기순이익(백만원),,"2,551,319","2,551,319","5,435,485"
3,20180402004162,Y,00164742,현대자동차,(연결)주당순이익(원),,"14,993","14,993","23,861"
4,20180402004162,Y,00164742,현대자동차,현금배당금총액(백만원),,"1,079,504","1,079,504","1,079,557"
5,20180402004162,Y,00164742,현대자동차,주식배당금총액(백만원),,-,-,-
6,20180402004162,Y,00164742,현대자동차,(연결)현금배당성향(%),,26.80,26.80,16.80
7,20180402004162,Y,00164742,현대자동차,현금배당수익률(%),보통주,2.60,2.60,2.60
8,20180402004162,Y,00164742,현대자동차,현금배당수익률(%),우선주,4.00,4.00,3.70
9,20180402004162,Y,00164742,현대자동차,주식배당수익률(%),보통주,-,-,-
10,20180402004162,Y,00164742,현대자동차,주식배당수익률(%),우선주,-,-,-
11,20180402004162,Y,00164742,현대자동차,주당 현금배당금(원),보통주,"4,000","4,000","4,000"
12,20180402004162,Y,00164742,현대자동차,주당 현금배당금(원),우선주,"4,100","4,100","4,100"
13,20180402004162,Y,00164742,현대자동차,주당 주식배당(주),보통주,-,-,-
14,20180402004162,Y,00164742,현대자동차,주당 주식배당(주),우선주,-,-,-
0,20190401004132,Y,00164742,현대자동차,주당액면가액(원),,"5,000","5,000","5,000"
1,20190401004132,Y,00164742,현대자동차,(연결)당기순이익(백만원),,"1,508,084","1,508,084","5,406,435"
2,20190401004132,Y,00164742,현대자동차,(별도)당기순이익(백만원),,"414,941","414,941","4,101,860"
3,20190401004132,Y,00164742,현대자동차,(연결)주당순이익(원),,"5,632","5,632","20,118"
4,20190401004132,Y,00164742,현대자동차,현금배당금총액(백만원),,"1,066,184","1,066,184","1,079,504"
5,20190401004132,Y,00164742,현대자동차,주식배당금총액(백만원),,-,-,-
6,20190401004132,Y,00164742,현대자동차,(연결)현금배당성향(%),,70.70,70.70,20.00
7,20190401004132,Y,00164742,현대자동차,현금배당수익률(%),보통주,3.30,3.30,2.80
8,20190401004132,Y,00164742,현대자동차,현금배당수익률(%),우선주,5.40,5.40,4.00
9,20190401004132,Y,00164742,현대자동차,주식배당수익률(%),보통주,-,-,-
10,20190401004132,Y,00164742,현대자동차,주식배당수익률(%),우선주,-,-,-
11,20190401004132,Y,00164742,현대자동차,주당 현금배당금(원),보통주,"4,000","4,000","4,000"
12,20190401004132,Y,00164742,현대자동차,주당 현금배당금(원),우선주,"4,100","4,100","4,100"
13,20190401004132,Y,00164742,현대자동차,주당 주식배당(주),보통주,-,-,-
14,20190401004132,Y,00164742,현대자동차,주당 주식배당(주),우선주,-,-,-
0,20200330004041,Y,00164742,현대자동차,주당액면가액(원),,"5,000","5,000","5,000"
1,20200330004041,Y,00164742,현대자동차,(연결)당기순이익(백만원),,"2,980,049","2,980,049","4,032,824"
2,20200330004041,Y,00164742,현대자동차,(별도)당기순이익(백만원),,"2,832,289","2,832,289","2,551,319"
3,20200330004041,Y,00164742,현대자동차,(연결)주당순이익(원),,"11,310","11,310","14,993"
4,20200330004041,Y,00164742,현대자동차,현금배당금총액(백만원),,"1,053,518","1,053,518","1,079,504"
5,20200330004041,Y,00164742,현대자동차,주식배당금총액(백만원),,-,-,-
6,20200330004041,Y,00164742,현대자동차,(연결)현금배당성향(%),,35.40,35.40,26.80
