,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
1,20210316001214,Y,00266961,NAVER,(연결)당기순이익(백만원),,"1,002,087","1,002,087","648,813"
2,20210316001214,Y,00266961,NAVER,(별도)당기순이익(백만원),,"1,196,925","1,196,925","900,423"
3,20210316001214,Y,00266961,NAVER,(연결)주당순이익(원),,"7,857","7,857","5,048"
4,20210316001214,Y,00266961,NAVER,현금배당금총액(백만원),,"59,279","59,279","45,901"
5,20210316001214,Y,00266961,NAVER,주식배당금총액(백만원),,-,-,-
6,20210316001214,Y,00266961,NAVER,(연결)현금배당성향(%),,5.90,5.90,7.10
7,20210316001214,Y,00266961,NAVER,현금배당수익률(%),보통주,0.10,0.10,0.30
8,20210316001214,Y,00266961,NAVER,현금배당수익률(%),종류주식,-,-,-
9,20210316001214,Y,00266961,NAVER,주식배당수익률(%),보통주,-,-,-
10,20210316001214,Y,00266961,NAVER,주식배당수익률(%),종류주식,-,-,-
11,20210316001214,Y,00266961,NAVER,주당 현금배당금(원),보통주,402,402,314
12,20210316001214,Y,00266961,NAVER,주당 현금배당금(원),종류주식,-,-,-
13,20210316001214,Y,00266961,NAVER,주당 주식배당(주),보통주,-,-,-
14,20210316001214,Y,00266961,NAVER,주당 주식배당(주),종류주식,-,-,-
