,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
0,20160330003610,Y,00266961,NAVER,주당액면가액(원),,500,500,500
1,20160330003610,Y,00266961,NAVER,(연결)당기순이익(백만원),,"518,746","518,746","1,897,461"
2,20160330003610,Y,00266961,NAVER,주당순이익(원),,"17,619","17,619","50,227"
3,20160330003610,Y,00266961,NAVER,현금배당금총액(백만원),,"32,131","32,131","21,870"
4,20160330003610,Y,00266961,NAVER,주식배당금총액(백만원),,-,-,-
5,20160330003610,Y,00266961,NAVER,(연결)현금배당성향(%),,6.00,6.00,1.00
6,20160330003610,Y,00266961,NAVER,현금배당수익률(%),보통주,0.20,0.20,0.10
7,20160330003610,Y,00266961,NAVER,현금배당수익률(%),종류주식,-,-,-
8,20160330003610,Y,00266961,NAVER,주식배당수익률(%),보통주,-,-,-
9,20160330003610,Y,00266961,NAVER,주식배당수익률(%),종류주식,-,-,-
10,20160330003610,Y,00266961,NAVER,주당 현금배당금(원),보통주,"1,100","1,100",734
11,20160330003610,Y,00266961,NAVER,주당 현금배당금(원),종류주식,-,-,-
12,20160330003610,Y,00266961,NAVER,주당 주식배당(주),보통주,-,-,-
13,20160330003610,Y,00266961,NAVER,주당 주식배당(주),종류주식,-,-,-
0,20170908000444,Y,00266961,NAVER,주당액면가액(원),,500,500,500
1,20170908000444,Y,00266961,NAVER,(연결)당기순이익(백만원),,"749,306","749,306","454,457"
2,20170908000444,Y,00266961,NAVER,(개별)당기순이익(백만원),,"651,816","651,816","460,656"
3,20170908000444,Y,00266961,NAVER,(연결)주당순이익(원),,"26,153","26,153","14,265"
4,20170908000444,Y,00266961,NAVER,현금배당금총액(백만원),,"32,581","32,581","23,043"
5,20170908000444,Y,00266961,NAVER,주식배당금총액(백만원),,-,-,-
6,20170908000444,Y,00266961,NAVER,(연결)현금배당성향(%),,4.00,4.00,5.00
7,20170908000444,Y,00266961,NAVER,현금배당수익률(%),보통주,0.10,0.10,0.10
8,20170908000444,Y,00266961,NAVER,현금배당수익률(%),종류주식,-,-,-
9,20170908000444,Y,00266961,NAVER,주식배당수익률(%),보통주,-,-,-
10,20170908000444,Y,00266961,NAVER,주식배당수익률(%),종류주식,-,-,-
11,20170908000444,Y,00266961,NAVER,주당 현금배당금(원),보통주,"1,131","1,131",782
12,20170908000444,Y,00266961,NAVER,주당 현금배당금(원),종류주식,-,-,-
13,20170908000444,Y,00266961,NAVER,주당 주식배당(주),보통주,-,-,-
14,20170908000444,Y,00266961,NAVER,주당 주식배당(주),종류주식,-,-,-
0,20180402004149,Y,00266961,NAVER,주당액면가액(원),,500,500,500
1,20180402004149,Y,00266961,NAVER,(연결)당기순이익(백만원),,"772,880","772,880","518,746"
2,20180402004149,Y,00266961,NAVER,(별도)당기순이익(백만원),,"849,412","849,412","642,596"
3,20180402004149,Y,00266961,NAVER,(연결)주당순이익(원),,"26,650","26,650","20,242"
4,20180402004149,Y,00266961,NAVER,현금배당금총액(백만원),,"42,470","42,470","32,131"
5,20180402004149,Y,00266961,NAVER,주식배당금총액(백만원),,-,-,-
6,20180402004149,Y,00266961,NAVER,(연결)현금배당성향(%),,5.50,5.50,6.20
7,20180402004149,Y,00266961,NAVER,현금배당수익률(%),보통주,0.20,0.20,0.20
8,20180402004149,Y,00266961,NAVER,현금배당수익률(%),종류주식,-,-,-
9,20180402004149,Y,00266961,NAVER,주식배당수익률(%),보통주,-,-,-
10,20180402004149,Y,00266961,NAVER,주식배당수익률(%),종류주식,-,-,-
11,20180402004149,Y,00266961,NAVER,주당 현금배당금(원),보통주,"1,446","1,446","1,100"
12,20180402004149,Y,00266961,NAVER,주당 현금배당금(원),종류주식,-,-,-
13,20180402004149,Y,00266961,NAVER,주당 주식배당(주),보통주,-,-,-
14,20180402004149,Y,00266961,NAVER,주당 주식배당(주),종류주식,-,-,-
0,20190401004489,Y,00266961,NAVER,주당액면가액(원),,100,100,500
1,20190401004489,Y,00266961,NAVER,(연결)당기순이익(백만원),,"648,813","648,813","749,306"
2,20190401004489,Y,00266961,NAVER,(별도)당기순이익(백만원),,"900,423","900,423","651,816"
3,20190401004489,Y,00266961,NAVER,(연결)주당순이익(원),,"4,403","4,403","26,153"
4,20190401004489,Y,00266961,NAVER,현금배당금총액(백만원),,"45,901","45,901","32,581"
5,20190401004489,Y,00266961,NAVER,주식배당금총액(백만원),,-,-,-
6,20190401004489,Y,00266961,NAVER,(연결)현금배당성향(%),,7.10,7.10,4.30
7,20190401004489,Y,00266961,NAVER,현금배당수익률(%),보통주,0.30,0.30,0.10
8,20190401004489,Y,00266961,NAVER,현금배당수익률(%),종류주식,-,-,-
9,20190401004489,Y,00266961,NAVER,주식배당수익률(%),보통주,-,-,-
10,20190401004489,Y,00266961,NAVER,주식배당수익률(%),종류주식,-,-,-
11,20190401004489,Y,00266961,NAVER,주당 현금배당금(원),보통주,314,314,"1,131"
12,20190401004489,Y,00266961,NAVER,주당 현금배당금(원),종류주식,-,-,-
13,20190401004489,Y,00266961,NAVER,주당 주식배당(주),보통주,-,-,-
14,20190401004489,Y,00266961,NAVER,주당 주식배당(주),종류주식,-,-,-
0,20200330004603,Y,00266961,NAVER,주당액면가액(원),,100,100,500
1,20200330004603,Y,00266961,NAVER,(연결)당기순이익(백만원),,"583,052","583,052","772,880"
2,20200330004603,Y,00266961,NAVER,(별도)당기순이익(백만원),,"1,092,525","1,092,525","849,412"
3,20200330004603,Y,00266961,NAVER,(연결)주당순이익(원),,"4,031","4,031","26,650"
4,20200330004603,Y,00266961,NAVER,현금배당금총액(백만원),,"54,688","54,688","42,470"
5,20200330004603,Y,00266961,NAVER,주식배당금총액(백만원),,-,-,-
6,20200330004603,Y,00266961,NAVER,(연결)현금배당성향(%),,9.40,9.40,5.50
7,20200330004603,Y,00266961,NAVER,현금배당수익률(%),보통주,0.20,0.20,0.20
8,20200330004603,Y,00266961,NAVER,현금배당수익률(%),우선주,-,-,-
9,20200330004603,Y,00266961,NAVER,주식배당수익률(%),보통주,-,-,-
10,20200330004603,Y,00266961,NAVER,주식배당수익률(%),우선주,-,-,-
11,20200330004603,Y,00266961,NAVER,주당 현금배당금(원),보통주,376,376,"1,446"
12,20200330004603,Y,00266961,NAVER,주당 현금배당금(원),우선주,-,-,-
13,20200330004603,Y,00266961,NAVER,주당 주식배당(주),보통주,-,-,-
14,20200330004603,Y,00266961,NAVER,주당 주식배당(주),우선주,-,-,-
0,20210316001214,Y,00266961,NAVER,주당액면가액(원),,100,100,100
