,접수번호,법인구분,고유번호,법인명,취득방법 대분류,취득방법 중분류,취득방법 소분류,주식 종류,기초 수량,변동 수량 취득,변동 수량 처분,변동 수량 소각,기말 수량,비고
0,20160330002170,Y,00258801,카카오,,,,,,,,,,
1,20160330002170,Y,00258801,카카오,,,,,,,,,,
2,20160330002170,Y,00258801,카카오,,,,,,,,,,
3,20160330002170,Y,00258801,카카오,,,,,,,,,,
4,20160330002170,Y,00258801,카카오,,,,,,,,,,
5,20160330002170,Y,00258801,카카오,,,,,,,,,,
6,20160330002170,Y,00258801,카카오,,,,보통주,,,,,,
7,20160330002170,Y,00258801,카카오,,,,우선주,,,,,,
8,20160330002170,Y,00258801,카카오,,,,보통주,,,,,,
9,20160330002170,Y,00258801,카카오,,,,우선주,,,,,,
10,20160330002170,Y,00258801,카카오,,,,보통주,,,,,,
11,20160330002170,Y,00258801,카카오,,,,우선주,,,,,,
12,20160330002170,Y,00258801,카카오,,,,보통주,,,,,,
13,20160330002170,Y,00258801,카카오,,,,우선주,,,,,,
0,20170331005003,Y,00258801,카카오,,,,,,,,,,
1,20170331005003,Y,00258801,카카오,,,,,,,,,,
2,20170331005003,Y,00258801,카카오,,,,,,,,,,
3,20170331005003,Y,00258801,카카오,,,,,,,,,,
4,20170331005003,Y,00258801,카카오,,,,,,,,,,
5,20170331005003,Y,00258801,카카오,,,,,,,,,,
6,20170331005003,Y,00258801,카카오,,,,,,,,,,
7,20170331005003,Y,00258801,카카오,,,,보통주,,,,,,
8,20170331005003,Y,00258801,카카오,,,,우선주,,,,,,
9,20170331005003,Y,00258801,카카오,,,,보통주,,,,,,
10,20170331005003,Y,00258801,카카오,,,,우선주,,,,,,
11,20170331005003,Y,00258801,카카오,,,,보통주,,,,,,
12,20170331005003,Y,00258801,카카오,,,,우선주,,,,,,
13,20170331005003,Y,00258801,카카오,,,,보통주,,,,,,
14,20170331005003,Y,00258801,카카오,,,,우선주,,,,,,
0,20180330002462,Y,00258801,카카오,,,,,,,,,,
1,20180330002462,Y,00258801,카카오,,,,,,,,,,
2,20180330002462,Y,00258801,카카오,,,,,,,,,,
3,20180330002462,Y,00258801,카카오,,,,,,,,,,
4,20180330002462,Y,00258801,카카오,,,,,,,,,,
5,20180330002462,Y,00258801,카카오,,,,,,,,,,
6,20180330002462,Y,00258801,카카오,,,,,,,,,,
7,20180330002462,Y,00258801,카카오,,,,보통주,,,,,,
8,20180330002462,Y,00258801,카카오,,,,,,,,,,
9,20180330002462,Y,00258801,카카오,,,,보통주,,,,,,
10,20180330002462,Y,00258801,카카오,,,,,,,,,,
11,20180330002462,Y,00258801,카카오,,,,보통주,,,,,,
12,20180330002462,Y,00258801,카카오,,,,,,,,,,
13,20180330002462,Y,00258801,카카오,,,,보통주,,,,,,
14,20180330002462,Y,00258801,카카오,,,,,,,,,,
0,20190401005013,Y,00258801,카카오,,,,,,,,,,
1,20190401005013,Y,00258801,카카오,,,,,,,,,,
2,20190401005013,Y,00258801,카카오,,,,,,,,,,
3,20190401005013,Y,00258801,카카오,,,,,,,,,,
4,20190401005013,Y,00258801,카카오,,,,,,,,,,
5,20190401005013,Y,00258801,카카오,,,,,,,,,,
6,20190401005013,Y,00258801,카카오,,,,,,,,,,
7,20190401005013,Y,00258801,카카오,,,,보통주,,,,,,
8,20190401005013,Y,00258801,카카오,,,,,,,,,,
9,20190401005013,Y,00258801,카카오,,,,보통주,,,,,,
10,20190401005013,Y,00258801,카카오,,,,,,,,,,
11,20190401005013,Y,00258801,카카오,,,,보통주,,,,,,
12,20190401005013,Y,00258801,카카오,,,,,,,,,,
13,20190401005013,Y,00258801,카카오,,,,보통주,,,,,,
14,20190401005013,Y,00258801,카카오,,,,,,,,,,
0,20200330004659,Y,00258801,카카오,,,,,,,,,,
1,20200330004659,Y,00258801,카카오,,,,,,,,,,
2,20200330004659,Y,00258801,카카오,,,,,,,,,,
3,20200330004659,Y,00258801,카카오,,,,,,,,,,
4,20200330004659,Y,00258801,카카오,,,,,,,,,,
5,20200330004659,Y,00258801,카카오,,,,,,,,,,
6,20200330004659,Y,00258801,카카오,,,,,,,,,,
7,20200330004659,Y,00258801,카카오,,,,보통주,,,,,,
8,20200330004659,Y,00258801,카카오,,,,,,,,,,
9,20200330004659,Y,00258801,카카오,,,,보통주,,,,,,
10,20200330004659,Y,00258801,카카오,,,,,,,,,,
11,20200330004659,Y,00258801,카카오,,,,보통주,,,,,,
12,20200330004659,Y,00258801,카카오,,,,,,,,,,
13,20200330004659,Y,00258801,카카오,,,,보통주,,,,,,
14,20200330004659,Y,00258801,카카오,,,,,,,,,,
0,20210318001373,Y,00258801,카카오,,,,,,,,,,
1,20210318001373,Y,00258801,카카오,,,,,,,,,,
2,20210318001373,Y,00258801,카카오,,,,,,,,,,
3,20210318001373,Y,00258801,카카오,,,,,,,,,,
4,20210318001373,Y,00258801,카카오,,,,,,,,,,
5,20210318001373,Y,00258801,카카오,,,,,,,,,,
6,20210318001373,Y,00258801,카카오,,,,,,,,,,
7,20210318001373,Y,00258801,카카오,,,,보통주,,,,,,
8,20210318001373,Y,00258801,카카오,,,,,,,,,,
9,20210318001373,Y,00258801,카카오,,,,보통주,,,,,,
10,20210318001373,Y,00258801,카카오,,,,,,,,,,
11,20210318001373,Y,00258801,카카오,,,,보통주,,,,,,
12,20210318001373,Y,00258801,카카오,,,,,,,,,,
13,20210318001373,Y,00258801,카카오,,,,보통주,,,,,,
14,20210318001373,Y,00258801,카카오,,,,,,,,,,
