,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
0,20160330002170,Y,00258801,카카오,주당액면가액(원),,500,500,500
1,20160330002170,Y,00258801,카카오,(연결)당기순이익(백만원),,"75,666","75,666","65,877"
2,20160330002170,Y,00258801,카카오,주당순이익(원),,"1,269","1,269","5,131"
3,20160330002170,Y,00258801,카카오,현금배당금총액(백만원),,"10,035","10,035","14,990"
4,20160330002170,Y,00258801,카카오,주식배당금총액(백만원),,-,-,-
5,20160330002170,Y,00258801,카카오,(연결)현금배당성향(%),,13.30,13.30,22.80
6,20160330002170,Y,00258801,카카오,현금배당수익률(%),보통주,0.10,0.10,1.30
7,20160330002170,Y,00258801,카카오,현금배당수익률(%),우선주,-,-,-
8,20160330002170,Y,00258801,카카오,주식배당수익률(%),보통주,-,-,-
9,20160330002170,Y,00258801,카카오,주식배당수익률(%),우선주,-,-,-
10,20160330002170,Y,00258801,카카오,주당 현금배당금(원),보통주,167,167,"1,133"
11,20160330002170,Y,00258801,카카오,주당 현금배당금(원),우선주,-,-,-
12,20160330002170,Y,00258801,카카오,주당 주식배당(주),보통주,-,-,-
13,20160330002170,Y,00258801,카카오,주당 주식배당(주),우선주,-,-,-
0,20170331005003,Y,00258801,카카오,주당액면가액(원),,500,500,500
1,20170331005003,Y,00258801,카카오,(연결)당기순이익(백만원),,"65,455","65,455","149,822"
2,20170331005003,Y,00258801,카카오,(개별)당기순이익(백만원),,"38,171","38,171","160,284"
3,20170331005003,Y,00258801,카카오,(연결)주당순이익(원),,874,874,"3,243"
4,20170331005003,Y,00258801,카카오,현금배당금총액(백만원),,"10,006","10,006","10,030"
5,20170331005003,Y,00258801,카카오,주식배당금총액(백만원),,-,-,-
6,20170331005003,Y,00258801,카카오,(연결)현금배당성향(%),,17.30,17.30,6.70
7,20170331005003,Y,00258801,카카오,현금배당수익률(%),보통주,0.20,0.20,0.10
8,20170331005003,Y,00258801,카카오,현금배당수익률(%),우선주,-,-,-
9,20170331005003,Y,00258801,카카오,주식배당수익률(%),보통주,-,-,-
