,접수번호,법인구분,고유번호,법인명,취득방법 대분류,취득방법 중분류,취득방법 소분류,주식 종류,기초 수량,변동 수량 취득,변동 수량 처분,변동 수량 소각,기말 수량,비고
0,20160516001867,Y,00164779,SK하이닉스,,,,,,,,,,
1,20160516001867,Y,00164779,SK하이닉스,,,,,,,,,,
2,20160516001867,Y,00164779,SK하이닉스,,,,,,,,,,
3,20160516001867,Y,00164779,SK하이닉스,,,,,,,,,,
4,20160516001867,Y,00164779,SK하이닉스,,,,,,,,,,
5,20160516001867,Y,00164779,SK하이닉스,,,,,,,,,,
6,20160516001867,Y,00164779,SK하이닉스,,,,보통주,,,,,,
7,20160516001867,Y,00164779,SK하이닉스,,,,우선주,,,,,,
8,20160516001867,Y,00164779,SK하이닉스,,,,보통주,,,,,,
9,20160516001867,Y,00164779,SK하이닉스,,,,우선주,,,,,,
10,20160516001867,Y,00164779,SK하이닉스,,,,보통주,,,,,,
11,20160516001867,Y,00164779,SK하이닉스,,,,우선주,,,,,,
12,20160516001867,Y,00164779,SK하이닉스,,,,보통주,,,,,,
13,20160516001867,Y,00164779,SK하이닉스,,,,우선주,,,,,,
0,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
1,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
2,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
3,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
4,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
5,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
6,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
7,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
8,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
9,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
10,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
11,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
12,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
13,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
14,20170331004537,Y,00164779,SK하이닉스,,,,,,,,,,
0,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
1,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
2,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
3,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
4,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
5,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
6,20180615000111,Y,00164779,SK하이닉스,,,,,,,,,,
7,20180615000111,Y,00164779,SK하이닉스,,,,보통주,,,,,,
8,20180615000111,Y,00164779,SK하이닉스,,,,우선주,,,,,,
9,20180615000111,Y,00164779,SK하이닉스,,,,보통주,,,,,,
10,20180615000111,Y,00164779,SK하이닉스,,,,우선주,,,,,,
11,20180615000111,Y,00164779,SK하이닉스,,,,보통주,,,,,,
12,20180615000111,Y,00164779,SK하이닉스,,,,우선주,,,,,,
13,20180615000111,Y,00164779,SK하이닉스,,,,보통주,,,,,,
