,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
0,20200330003851,Y,00126380,삼성전자,주당액면가액(원),,100,100,100
1,20200330003851,Y,00126380,삼성전자,(연결)당기순이익(백만원),,"21,505,054","21,505,054","41,344,569"
2,20200330003851,Y,00126380,삼성전자,(별도)당기순이익(백만원),,"15,353,323","15,353,323","28,800,837"
3,20200330003851,Y,00126380,삼성전자,(연결)주당순이익(원),,"3,166","3,166","5,997"
4,20200330003851,Y,00126380,삼성전자,현금배당금총액(백만원),,"9,619,243","9,619,243","5,826,302"
5,20200330003851,Y,00126380,삼성전자,주식배당금총액(백만원),,-,-,-
6,20200330003851,Y,00126380,삼성전자,(연결)현금배당성향(%),,44.70,44.70,14.10
7,20200330003851,Y,00126380,삼성전자,현금배당수익률(%),보통주,2.60,2.60,1.70
8,20200330003851,Y,00126380,삼성전자,현금배당수익률(%),우선주,3.10,3.10,2.10
9,20200330003851,Y,00126380,삼성전자,주식배당수익률(%),보통주,-,-,-
10,20200330003851,Y,00126380,삼성전자,주식배당수익률(%),우선주,-,-,-
11,20200330003851,Y,00126380,삼성전자,주당 현금배당금(원),보통주,"1,416","1,416",850
12,20200330003851,Y,00126380,삼성전자,주당 현금배당금(원),우선주,"1,417","1,417",851
13,20200330003851,Y,00126380,삼성전자,주당 주식배당(주),보통주,-,-,-
14,20200330003851,Y,00126380,삼성전자,주당 주식배당(주),우선주,-,-,-
0,20210309000744,Y,00126380,삼성전자,주당액면가액(원),,100,100,100
1,20210309000744,Y,00126380,삼성전자,(연결)당기순이익(백만원),,"26,090,846","26,090,846","43,890,877"
2,20210309000744,Y,00126380,삼성전자,(별도)당기순이익(백만원),,"15,615,018","15,615,018","32,815,127"
3,20210309000744,Y,00126380,삼성전자,(연결)주당순이익(원),,"3,841","3,841","6,461"
4,20210309000744,Y,00126380,삼성전자,현금배당금총액(백만원),,"20,338,075","20,338,075","9,619,243"
5,20210309000744,Y,00126380,삼성전자,주식배당금총액(백만원),,-,-,-
6,20210309000744,Y,00126380,삼성전자,(연결)현금배당성향(%),,78.00,78.00,21.90
7,20210309000744,Y,00126380,삼성전자,현금배당수익률(%),보통주,4.00,4.00,3.70
8,20210309000744,Y,00126380,삼성전자,현금배당수익률(%),우선주,4.20,4.20,4.50
9,20210309000744,Y,00126380,삼성전자,주식배당수익률(%),보통주,-,-,-
10,20210309000744,Y,00126380,삼성전자,주식배당수익률(%),우선주,-,-,-
11,20210309000744,Y,00126380,삼성전자,주당 현금배당금(원),보통주,"2,994","2,994","1,416"
12,20210309000744,Y,00126380,삼성전자,주당 현금배당금(원),우선주,"2,995","2,995","1,417"
13,20210309000744,Y,00126380,삼성전자,주당 주식배당(주),보통주,-,-,-
14,20210309000744,Y,00126380,삼성전자,주당 주식배당(주),우선주,-,-,-
