,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
0,20160516001867,Y,00164779,SK하이닉스,주당액면가액(원),,"5,000","5,000","5,000"
1,20160516001867,Y,00164779,SK하이닉스,(연결)당기순이익(백만원),,"4,322,356","4,322,356","2,872,857"
2,20160516001867,Y,00164779,SK하이닉스,주당순이익(원),,"6,002","6,002","4,045"
3,20160516001867,Y,00164779,SK하이닉스,현금배당금총액(백만원),,"353,001","353,001",-
4,20160516001867,Y,00164779,SK하이닉스,주식배당금총액(백만원),,-,-,-
5,20160516001867,Y,00164779,SK하이닉스,(연결)현금배당성향(%),,8.20,8.20,-
6,20160516001867,Y,00164779,SK하이닉스,현금배당수익률(%),보통주,1.60,1.60,-
7,20160516001867,Y,00164779,SK하이닉스,현금배당수익률(%),우선주,-,-,-
8,20160516001867,Y,00164779,SK하이닉스,주식배당수익률(%),보통주,-,-,-
9,20160516001867,Y,00164779,SK하이닉스,주식배당수익률(%),우선주,-,-,-
10,20160516001867,Y,00164779,SK하이닉스,주당 현금배당금(원),보통주,500,500,-
11,20160516001867,Y,00164779,SK하이닉스,주당 현금배당금(원),우선주,-,-,-
12,20160516001867,Y,00164779,SK하이닉스,주당 주식배당(주),보통주,-,-,-
13,20160516001867,Y,00164779,SK하이닉스,주당 주식배당(주),우선주,-,-,-
0,20170331004537,Y,00164779,SK하이닉스,주당액면가액(원),,"5,000","5,000","5,000"
1,20170331004537,Y,00164779,SK하이닉스,(연결)당기순이익(백만원),,"2,953,774","2,953,774","4,195,456"
2,20170331004537,Y,00164779,SK하이닉스,(개별)당기순이익(백만원),,"2,655,022","2,655,022","3,771,760"
3,20170331004537,Y,00164779,SK하이닉스,(연결)주당순이익(원),,"4,184","4,184","5,842"
4,20170331004537,Y,00164779,SK하이닉스,현금배당금총액(백만원),,"423,601","423,601","218,401"
5,20170331004537,Y,00164779,SK하이닉스,주식배당금총액(백만원),,-,-,-
6,20170331004537,Y,00164779,SK하이닉스,(연결)현금배당성향(%),,14.30,14.30,5.20
7,20170331004537,Y,00164779,SK하이닉스,현금배당수익률(%),,1.30,1.30,0.60
8,20170331004537,Y,00164779,SK하이닉스,현금배당수익률(%),,-,-,-
9,20170331004537,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
10,20170331004537,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
11,20170331004537,Y,00164779,SK하이닉스,주당 현금배당금(원),,600,600,300
12,20170331004537,Y,00164779,SK하이닉스,주당 현금배당금(원),,-,-,-
13,20170331004537,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
14,20170331004537,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
0,20180615000111,Y,00164779,SK하이닉스,주당액면가액(원),,"5,000","5,000","5,000"
1,20180615000111,Y,00164779,SK하이닉스,(연결)당기순이익(백만원),,"10,641,512","10,641,512","4,322,356"
2,20180615000111,Y,00164779,SK하이닉스,(별도)당기순이익(백만원),,"10,110,797","10,110,797","4,019,080"
3,20180615000111,Y,00164779,SK하이닉스,(연결)주당순이익(원),,"15,073","15,073","6,002"
