,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
4,20180615000111,Y,00164779,SK하이닉스,현금배당금총액(백만원),,"706,002","706,002","353,001"
5,20180615000111,Y,00164779,SK하이닉스,주식배당금총액(백만원),,-,-,-
6,20180615000111,Y,00164779,SK하이닉스,(연결)현금배당성향(%),,6.60,6.60,8.20
7,20180615000111,Y,00164779,SK하이닉스,현금배당수익률(%),보통주,1.30,1.30,1.60
8,20180615000111,Y,00164779,SK하이닉스,현금배당수익률(%),우선주,-,-,-
9,20180615000111,Y,00164779,SK하이닉스,주식배당수익률(%),보통주,-,-,-
10,20180615000111,Y,00164779,SK하이닉스,주식배당수익률(%),우선주,-,-,-
11,20180615000111,Y,00164779,SK하이닉스,주당 현금배당금(원),보통주,"1,000","1,000",500
12,20180615000111,Y,00164779,SK하이닉스,주당 현금배당금(원),우선주,-,-,-
13,20180615000111,Y,00164779,SK하이닉스,주당 주식배당(주),보통주,-,-,-
14,20180615000111,Y,00164779,SK하이닉스,주당 주식배당(주),우선주,-,-,-
0,20190404002329,Y,00164779,SK하이닉스,주당액면가액(원),,"5,000","5,000","5,000"
1,20190404002329,Y,00164779,SK하이닉스,(연결)당기순이익(백만원),,"15,540,111","15,540,111","2,953,774"
2,20190404002329,Y,00164779,SK하이닉스,(별도)당기순이익(백만원),,"15,407,086","15,407,086","2,655,022"
3,20190404002329,Y,00164779,SK하이닉스,(연결)주당순이익(원),,"22,255","22,255","4,184"
4,20190404002329,Y,00164779,SK하이닉스,현금배당금총액(백만원),,"1,026,003","1,026,003","423,601"
5,20190404002329,Y,00164779,SK하이닉스,주식배당금총액(백만원),,-,-,-
6,20190404002329,Y,00164779,SK하이닉스,(연결)현금배당성향(%),,6.60,6.60,14.30
7,20190404002329,Y,00164779,SK하이닉스,현금배당수익률(%),,2.50,2.50,1.30
8,20190404002329,Y,00164779,SK하이닉스,현금배당수익률(%),,-,-,-
9,20190404002329,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
10,20190404002329,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
11,20190404002329,Y,00164779,SK하이닉스,주당 현금배당금(원),,"1,500","1,500",600
12,20190404002329,Y,00164779,SK하이닉스,주당 현금배당금(원),,-,-,-
13,20190404002329,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
14,20190404002329,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
0,20200330004441,Y,00164779,SK하이닉스,주당액면가액(원),,"5,000","5,000","5,000"
1,20200330004441,Y,00164779,SK하이닉스,(연결)당기순이익(백만원),,"2,013,288","2,013,288","10,641,512"
2,20200330004441,Y,00164779,SK하이닉스,(별도)당기순이익(백만원),,"1,484,294","1,484,294","10,110,797"
3,20200330004441,Y,00164779,SK하이닉스,(연결)주당순이익(원),,"2,943","2,943","15,073"
4,20200330004441,Y,00164779,SK하이닉스,현금배당금총액(백만원),,"684,002","684,002","706,002"
5,20200330004441,Y,00164779,SK하이닉스,주식배당금총액(백만원),,-,-,-
6,20200330004441,Y,00164779,SK하이닉스,(연결)현금배당성향(%),,34.00,34.00,6.60
7,20200330004441,Y,00164779,SK하이닉스,현금배당수익률(%),,1.10,1.10,1.30
8,20200330004441,Y,00164779,SK하이닉스,현금배당수익률(%),,-,-,-
9,20200330004441,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
10,20200330004441,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
11,20200330004441,Y,00164779,SK하이닉스,주당 현금배당금(원),,"1,000","1,000","1,000"
12,20200330004441,Y,00164779,SK하이닉스,주당 현금배당금(원),,-,-,-
13,20200330004441,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
14,20200330004441,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
0,20210330000776,Y,00164779,SK하이닉스,주당액면가액(원),,"5,000","5,000","5,000"
1,20210330000776,Y,00164779,SK하이닉스,(연결)당기순이익(백만원),,"4,755,102","4,755,102","15,540,111"
2,20210330000776,Y,00164779,SK하이닉스,(별도)당기순이익(백만원),,"4,217,841","4,217,841","15,407,086"
3,20210330000776,Y,00164779,SK하이닉스,(연결)주당순이익(원),,"6,952","6,952","22,255"
4,20210330000776,Y,00164779,SK하이닉스,현금배당금총액(백만원),,"800,282","800,282","1,026,003"
5,20210330000776,Y,00164779,SK하이닉스,주식배당금총액(백만원),,-,-,-
6,20210330000776,Y,00164779,SK하이닉스,(연결)현금배당성향(%),,16.80,16.80,6.60
7,20210330000776,Y,00164779,SK하이닉스,현금배당수익률(%),,1.00,1.00,2.50
8,20210330000776,Y,00164779,SK하이닉스,현금배당수익률(%),,-,-,-
9,20210330000776,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
10,20210330000776,Y,00164779,SK하이닉스,주식배당수익률(%),,-,-,-
11,20210330000776,Y,00164779,SK하이닉스,주당 현금배당금(원),,"1,170","1,170","1,500"
12,20210330000776,Y,00164779,SK하이닉스,주당 현금배당금(원),,-,-,-
13,20210330000776,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
14,20210330000776,Y,00164779,SK하이닉스,주당 주식배당(주),,-,-,-
