"시점","성별","연령계층별",취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2018. 06","남자","계",15484,603,3.8,71.4
"2018. 06","남자","20 - 29세",1767,208,10.6,56.1
"2018. 06","남자","30 - 39세",3429,114,3.2,89.8
"2018. 06","남자","40 - 49세",3943,96,2.4,92.1
"2018. 06","남자","50 - 59세",3696,106,2.8,87.7
"2018. 06","남자","60세이상",2561,74,2.8,53.2
"2018. 06","여자","계",11642,431,3.6,51.8
"2018. 06","여자","20 - 29세",1948,165,7.8,60.2
"2018. 06","여자","30 - 39세",2179,87,3.8,61.2
"2018. 06","여자","40 - 49세",2751,63,2.3,66.0
"2018. 06","여자","50 - 59세",2695,67,2.4,63.9
"2018. 06","여자","60세이상",1950,39,1.9,32.8
"2018. 07","계","계",27083,1039,3.7,61.3
"2018. 07","계","20 - 29세",3760,382,9.2,58.8
"2018. 07","계","30 - 39세",5563,199,3.5,75.5
"2018. 07","계","40 - 49세",6671,173,2.5,79.1
"2018. 07","계","50 - 59세",6369,159,2.4,75.5
"2018. 07","계","60세이상",4496,100,2.2,41.6
"2018. 07","남자","계",15475,611,3.8,71.3
"2018. 07","남자","20 - 29세",1797,207,10.3,57.0
"2018. 07","남자","30 - 39세",3405,119,3.4,89.3
"2018. 07","남자","40 - 49세",3924,109,2.7,91.8
"2018. 07","남자","50 - 59세",3687,95,2.5,87.4
"2018. 07","남자","60세이상",2558,71,2.7,52.9
"2018. 07","여자","계",11609,428,3.6,51.6
"2018. 07","여자","20 - 29세",1963,175,8.2,60.7
"2018. 07","여자","30 - 39세",2159,80,3.6,60.7
"2018. 07","여자","40 - 49세",2748,64,2.3,66.0
"2018. 07","여자","50 - 59세",2682,64,2.3,63.5
"2018. 07","여자","60세이상",1938,28,1.4,32.5
"2018. 08","계","계",26907,1133,4.0,60.9
"2018. 08","계","20 - 29세",3710,408,9.9,58.0
"2018. 08","계","30 - 39세",5527,215,3.7,75.1
"2018. 08","계","40 - 49세",6631,186,2.7,78.7
"2018. 08","계","50 - 59세",6320,192,2.9,74.8
"2018. 08","계","60세이상",4509,106,2.3,41.6
"2018. 08","남자","계",15370,675,4.2,70.8
"2018. 08","남자","20 - 29세",1772,231,11.5,56.1
"2018. 08","남자","30 - 39세",3385,133,3.8,88.8
"2018. 08","남자","40 - 49세",3902,117,2.9,91.4
"2018. 08","남자","50 - 59세",3651,110,2.9,86.4
"2018. 08","남자","60세이상",2564,71,2.7,52.8
"2018. 08","여자","계",11537,458,3.8,51.3
"2018. 08","여자","20 - 29세",1938,177,8.4,59.9
"2018. 08","여자","30 - 39세",2142,82,3.7,60.3
"2018. 08","여자","40 - 49세",2729,69,2.5,65.7
"2018. 08","여자","50 - 59세",2669,81,3.0,63.1
"2018. 08","여자","60세이상",1946,34,1.7,32.5
"2018. 09","계","계",27055,1024,3.6,61.2
"2018. 09","계","20 - 29세",3716,366,9.0,58.1
"2018. 09","계","30 - 39세",5557,207,3.6,75.6
"2018. 09","계","40 - 49세",6663,166,2.4,79.2
"2018. 09","계","50 - 59세",6375,159,2.4,75.3
"2018. 09","계","60세이상",4551,115,2.5,41.8
"2018. 09","남자","계",15444,604,3.8,71.1
"2018. 09","남자","20 - 29세",1780,187,9.5,56.3
"2018. 09","남자","30 - 39세",3400,132,3.7,89.3
"2018. 09","남자","40 - 49세",3921,96,2.4,92.0
"2018. 09","남자","50 - 59세",3670,96,2.5,86.8
"2018. 09","남자","60세이상",2587,85,3.2,53.0
"2018. 09","여자","계",11612,420,3.5,51.6
"2018. 09","여자","20 - 29세",1936,178,8.4,59.8
"2018. 09","여자","30 - 39세",2157,75,3.3,60.8
"2018. 09","여자","40 - 49세",2742,70,2.5,66.1
"2018. 09","여자","50 - 59세",2705,63,2.3,63.9
"2018. 09","여자","60세이상",1964,30,1.5,32.7
"2018. 10","계","계",27090,973,3.5,61.2
"2018. 10","계","20 - 29세",3726,348,8.5,58.2
"2018. 10","계","30 - 39세",5565,187,3.3,75.8
"2018. 10","계","40 - 49세",6645,160,2.4,79.1
