"시점","성별","연령계층별",취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2020. 03","남자","20 - 29세",1733,208,10.7,54.0
"2020. 03","남자","30 - 39세",3300,101,3.0,88.4
"2020. 03","남자","40 - 49세",3787,99,2.6,90.3
"2020. 03","남자","50 - 59세",3633,128,3.4,84.8
"2020. 03","남자","60세이상",2763,115,4.0,52.1
"2020. 03","여자","계",11327,517,4.4,49.9
"2020. 03","여자","20 - 29세",1787,171,8.7,54.9
"2020. 03","여자","30 - 39세",2108,83,3.8,61.3
"2020. 03","여자","40 - 49세",2589,75,2.8,63.8
"2020. 03","여자","50 - 59세",2675,83,3.0,62.6
"2020. 03","여자","60세이상",2085,93,4.3,32.3
"2020. 04","계","계",26562,1172,4.2,59.4
"2020. 04","계","20 - 29세",3524,355,9.1,54.6
"2020. 04","계","30 - 39세",5362,196,3.5,74.9
"2020. 04","계","40 - 49세",6312,182,2.8,76.5
"2020. 04","계","50 - 59세",6296,233,3.6,73.6
"2020. 04","계","60세이상",4939,189,3.7,41.8
"2020. 04","남자","계",15237,675,4.2,69.3
"2020. 04","남자","20 - 29세",1741,191,9.9,54.4
"2020. 04","남자","30 - 39세",3269,115,3.4,87.7
"2020. 04","남자","40 - 49세",3751,107,2.8,89.5
"2020. 04","남자","50 - 59세",3631,134,3.6,84.8
"2020. 04","남자","60세이상",2787,116,4.0,52.3
"2020. 04","여자","계",11325,497,4.2,49.8
"2020. 04","여자","20 - 29세",1782,164,8.4,54.8
"2020. 04","여자","30 - 39세",2092,80,3.7,61.0
"2020. 04","여자","40 - 49세",2561,74,2.8,63.1
"2020. 04","여자","50 - 59세",2665,99,3.6,62.4
"2020. 04","여자","60세이상",2153,72,3.2,33.2
"2020. 05","계","계",26930,1278,4.5,60.2
"2020. 05","계","20 - 29세",3602,413,10.3,55.7
"2020. 05","계","30 - 39세",5360,219,3.9,75.0
"2020. 05","계","40 - 49세",6333,191,2.9,76.8
"2020. 05","계","50 - 59세",6347,245,3.7,74.2
"2020. 05","계","60세이상",5121,198,3.7,43.1
"2020. 05","남자","계",15382,737,4.6,69.9
"2020. 05","남자","20 - 29세",1748,225,11.4,54.5
"2020. 05","남자","30 - 39세",3276,128,3.8,88.0
"2020. 05","남자","40 - 49세",3767,108,2.8,89.9
"2020. 05","남자","50 - 59세",3655,139,3.7,85.3
"2020. 05","남자","60세이상",2860,128,4.3,53.4
"2020. 05","여자","계",11549,541,4.5,50.8
"2020. 05","여자","20 - 29세",1855,187,9.2,57.0
"2020. 05","여자","30 - 39세",2084,90,4.1,60.9
"2020. 05","여자","40 - 49세",2565,83,3.1,63.3
"2020. 05","여자","50 - 59세",2692,106,3.8,63.0
"2020. 05","여자","60세이상",2261,70,3.0,34.7
"2020. 06","계","계",27055,1228,4.3,60.4
"2020. 06","계","20 - 29세",3578,441,11.0,55.4
"2020. 06","계","30 - 39세",5380,208,3.7,75.4
"2020. 06","계","40 - 49세",6333,183,2.8,76.9
"2020. 06","계","50 - 59세",6372,217,3.3,74.5
"2020. 06","계","60세이상",5221,170,3.1,43.8
"2020. 06","남자","계",15431,694,4.3,70.1
"2020. 06","남자","20 - 29세",1734,240,12.1,54.1
"2020. 06","남자","30 - 39세",3283,119,3.5,88.3
"2020. 06","남자","40 - 49세",3757,103,2.7,89.7
"2020. 06","남자","50 - 59세",3679,118,3.1,85.9
"2020. 06","남자","60세이상",2900,110,3.6,53.9
"2020. 06","여자","계",11624,534,4.4,51.1
"2020. 06","여자","20 - 29세",1844,202,9.9,56.6
"2020. 06","여자","30 - 39세",2098,88,4.0,61.4
"2020. 06","여자","40 - 49세",2576,80,3.0,63.6
"2020. 06","여자","50 - 59세",2692,99,3.5,63.0
"2020. 06","여자","60세이상",2321,60,2.5,35.5
"2020. 07","계","계",27106,1138,4.0,60.5
"2020. 07","계","20 - 29세",3622,387,9.7,56.1
"2020. 07","계","30 - 39세",5371,190,3.4,75.4
"2020. 07","계","40 - 49세",6328,178,2.7,76.9
"2020. 07","계","50 - 59세",6355,210,3.2,74.3
"2020. 07","계","60세이상",5251,153,2.8,43.8
"2020. 07","남자","계",15461,642,4.0,70.2
"2020. 07","남자","20 - 29세",1762,207,10.5,55.0
"2020. 07","남자","30 - 39세",3287,103,3.0,88.6
"2020. 07","남자","40 - 49세",3740,106,2.8,89.3
"2020. 07","남자","50 - 59세",3669,113,3.0,85.6
"2020. 07","남자","60세이상",2923,102,3.4,54.1
"2020. 07","여자","계",11645,496,4.1,51.2
"2020. 07","여자","20 - 29세",1860,180,8.8,57.2
"2020. 07","여자","30 - 39세",2084,87,4.0,61.1
"2020. 07","여자","40 - 49세",2588,72,2.7,63.9
"2020. 07","여자","50 - 59세",2686,97,3.5,62.9
"2020. 07","여자","60세이상",2328,52,2.2,35.4
"2020. 08","계","계",27085,864,3.1,60.4
"2020. 08","계","20 - 29세",3642,302,7.7,56.4
"2020. 08","계","30 - 39세",5288,157,2.9,74.4
"2020. 08","계","40 - 49세",6322,137,2.1,76.8
"2020. 08","계","50 - 59세",6379,144,2.2,74.6
"2020. 08","계","60세이상",5285,110,2.0,43.9
"2020. 08","남자","계",15469,484,3.0,70.2
"2020. 08","남자","20 - 29세",1761,166,8.6,55.0
"2020. 08","남자","30 - 39세",3255,89,2.6,87.9
"2020. 08","남자","40 - 49세",3751,77,2.0,89.7
"2020. 08","남자","50 - 59세",3681,71,1.9,85.9
"2020. 08","남자","60세이상",2944,72,2.4,54.2
"2020. 08","여자","계",11615,381,3.2,51.0
"2020. 08","여자","20 - 29세",1881,135,6.7,57.8
"2020. 08","여자","30 - 39세",2033,69,3.3,59.7
"2020. 08","여자","40 - 49세",2570,60,2.3,63.6
"2020. 08","여자","50 - 59세",2698,73,2.6,63.2
"2020. 08","여자","60세이상",2341,37,1.6,35.4
"2020. 09","계","계",27012,1000,3.6,60.3
"2020. 09","계","20 - 29세",3582,349,8.9,55.5
"2020. 09","계","30 - 39세",5261,196,3.6,74.1
"2020. 09","계","40 - 49세",6309,158,2.4,76.8
"2020. 09","계","50 - 59세",6360,158,2.4,74.4
"2020. 09","계","60세이상",5350,124,2.3,44.2
"2020. 09","남자","계",15430,587,3.7,70.0
"2020. 09","남자","20 - 29세",1735,196,10.1,54.3
"2020. 09","남자","30 - 39세",3219,120,3.6,87.0
"2020. 09","남자","40 - 49세",3742,92,2.4,89.5
"2020. 09","남자","50 - 59세",3672,92,2.4,85.7
"2020. 09","남자","60세이상",2994,78,2.5,54.8
"2020. 09","여자","계",11582,413,3.4,50.9
"2020. 09","여자","20 - 29세",1847,153,7.6,56.8
"2020. 09","여자","30 - 39세",2042,77,3.6,60.1
"2020. 09","여자","40 - 49세",2567,66,2.5,63.5
"2020. 09","여자","50 - 59세",2688,67,2.4,63.0
"2020. 09","여자","60세이상",2355,46,1.9,35.5
"2020. 10","계","계",27088,1028,3.7,60.4
"2020. 10","계","20 - 29세",3604,332,8.4,55.9
"2020. 10","계","30 - 39세",5276,220,4.0,74.5
"2020. 10","계","40 - 49세",6307,170,2.6,76.8
"2020. 10","계","50 - 59세",6388,168,2.6,74.7
"2020. 10","계","60세이상",5371,129,2.4,44.2
"2020. 10","남자","계",15456,605,3.8,70.0
"2020. 10","남자","20 - 29세",1755,181,9.3,54.9
"2020. 10","남자","30 - 39세",3216,132,3.9,87.1
"2020. 10","남자","40 - 49세",3733,105,2.7,89.4
"2020. 10","남자","50 - 59세",3693,96,2.5,86.2
"2020. 10","남자","60세이상",2994,85,2.8,54.5
"2020. 10","여자","계",11633,423,3.5,51.1
"2020. 10","여자","20 - 29세",1848,151,7.5,56.8
"2020. 10","여자","30 - 39세",2060,89,4.1,60.8
"2020. 10","여자","40 - 49세",2574,65,2.4,63.8
"2020. 10","여자","50 - 59세",2694,72,2.6,63.2
"2020. 10","여자","60세이상",2377,44,1.8,35.7
"2020. 11","계","계",27241,967,3.4,60.7
"2020. 11","계","20 - 29세",3610,322,8.2,55.9
"2020. 11","계","30 - 39세",5339,206,3.7,75.5
"2020. 11","계","40 - 49세",6349,150,2.3,77.4
"2020. 11","계","50 - 59세",6423,160,2.4,75.1
"2020. 11","계","60세이상",5379,120,2.2,44.1
"2020. 11","남자","계",15523,540,3.4,70.3
"2020. 11","남자","20 - 29세",1748,167,8.7,54.5
"2020. 11","남자","30 - 39세",3245,111,3.3,88.0
"2020. 11","남자","40 - 49세",3755,94,2.4,89.9
"2020. 11","남자","50 - 59세",3703,88,2.3,86.4
"2020. 11","남자","60세이상",3010,76,2.5,54.6
"2020. 11","여자","계",11718,427,3.5,51.4
"2020. 11","여자","20 - 29세",1862,155,7.7,57.3
"2020. 11","여자","30 - 39세",2094,96,4.4,61.9
"2020. 11","여자","40 - 49세",2593,56,2.1,64.3
"2020. 11","여자","50 - 59세",2720,72,2.6,63.8
"2020. 11","여자","60세이상",2368,44,1.8,35.4
"2020. 12","계","계",26526,1135,4.1,59.1
"2020. 12","계","20 - 29세",3510,312,8.2,54.3
"2020. 12","계","30 - 39세",5304,208,3.8,75.1
"2020. 12","계","40 - 49세",6300,153,2.4,76.8
"2020. 12","계","50 - 59세",6316,173,2.7,73.9
"2020. 12","계","60세이상",4954,280,5.3,40.4
"2020. 12","남자","계",15244,594,3.7,68.9
"2020. 12","남자","20 - 29세",1684,166,9.0,52.4
"2020. 12","남자","30 - 39세",3231,104,3.1,87.7
"2020. 12","남자","40 - 49세",3751,92,2.4,89.9
"2020. 12","남자","50 - 59세",3658,96,2.6,85.4
"2020. 12","남자","60세이상",2859,132,4.4,51.6
"2020. 12","여자","계",11281,542,4.6,49.5
"2020. 12","여자","20 - 29세",1826,146,7.4,56.2
"2020. 12","여자","30 - 39세",2073,103,4.7,61.4
"2020. 12","여자","40 - 49세",2549,61,2.3,63.3
"2020. 12","여자","50 - 59세",2658,77,2.8,62.4
"2020. 12","여자","60세이상",2095,148,6.6,31.2
"2021. 01","계","계",25818,1570,5.7,57.4
"2021. 01","계","20 - 29세",3496,357,9.3,53.9
"2021. 01","계","30 - 39세",5245,235,4.3,74.4
"2021. 01","계","40 - 49세",6244,183,2.8,76.2
"2021. 01","계","50 - 59세",6204,231,3.6,72.6
"2021. 01","계","60세이상",4483,541,10.8,36.4
"2021. 01","남자","계",14939,789,5.0,67.4
"2021. 01","남자","20 - 29세",1684,188,10.0,52.0
"2021. 01","남자","30 - 39세",3204,134,4.0,87.1
"2021. 01","남자","40 - 49세",3716,111,2.9,89.1
"2021. 01","남자","50 - 59세",3607,120,3.2,84.2
"2021. 01","남자","60세이상",2662,225,7.8,47.8
"2021. 01","여자","계",10879,781,6.7,47.7
"2021. 01","여자","20 - 29세",1812,169,8.5,55.7
"2021. 01","여자","30 - 39세",2041,101,4.7,60.6
"2021. 01","여자","40 - 49세",2528,72,2.8,62.8
"2021. 01","여자","50 - 59세",2597,111,4.1,61.0
"2021. 01","여자","60세이상",1821,316,14.8,27.0
"2021. 02","계","계",26365,1353,4.9,58.6
"2021. 02","계","20 - 29세",3557,395,10.0,54.9
"2021. 02","계","30 - 39세",5263,217,4.0,74.8
"2021. 02","계","40 - 49세",6260,173,2.7,76.4
"2021. 02","계","50 - 59세",6219,243,3.8,72.8
"2021. 02","계","60세이상",4908,305,5.8,39.7
"2021. 02","남자","계",15149,739,4.7,68.4
"2021. 02","남자","20 - 29세",1718,209,10.8,53.1
"2021. 02","남자","30 - 39세",3218,120,3.6,87.6
"2021. 02","남자","40 - 49세",3721,99,2.6,89.3
"2021. 02","남자","50 - 59세",3608,130,3.5,84.2
"2021. 02","남자","60세이상",2812,173,5.8,50.2
"2021. 02","여자","계",11215,614,5.2,49.1
"2021. 02","여자","20 - 29세",1839,186,9.2,56.6
"2021. 02","여자","30 - 39세",2045,97,4.5,60.8
"2021. 02","여자","40 - 49세",2539,74,2.8,63.1
"2021. 02","여자","50 - 59세",2611,113,4.1,61.3
"2021. 02","여자","60세이상",2096,131,5.9,30.9
"2021. 03","계","계",26923,1215,4.3,59.8
"2021. 03","계","20 - 29세",3650,404,10.0,56.3
"2021. 03","계","30 - 39세",5238,223,4.1,74.6
"2021. 03","계","40 - 49세",6291,173,2.7,76.9
"2021. 03","계","50 - 59세",6320,201,3.1,74.0
"2021. 03","계","60세이상",5256,193,3.5,42.3
"2021. 03","남자","계",15417,682,4.2,69.6
"2021. 03","남자","20 - 29세",1760,228,11.5,54.5
"2021. 03","남자","30 - 39세",3217,120,3.6,87.7
"2021. 03","남자","40 - 49세",3759,87,2.3,90.2
"2021. 03","남자","50 - 59세",3648,109,2.9,85.1
"2021. 03","남자","60세이상",2962,128,4.1,52.7
"2021. 03","여자","계",11506,534,4.4,50.4
"2021. 03","여자","20 - 29세",1890,176,8.5,58.1
"2021. 03","여자","30 - 39세",2021,103,4.8,60.2
"2021. 03","여자","40 - 49세",2533,86,3.3,63.0
"2021. 03","여자","50 - 59세",2672,92,3.3,62.8
"2021. 03","여자","60세이상",2294,65,2.8,33.7
"2021. 04","계","계",27214,1147,4.0,60.4
"2021. 04","계","20 - 29세",3655,407,10.0,56.4
"2021. 04","계","30 - 39세",5263,197,3.6,75.1
"2021. 04","계","40 - 49세",6301,170,2.6,77.1
"2021. 04","계","50 - 59세",6410,175,2.7,75.0
"2021. 04","계","60세이상",5408,180,3.2,43.3
"2021. 04","남자","계",15514,653,4.0,70.0
"2021. 04","남자","20 - 29세",1760,230,11.5,54.5
"2021. 04","남자","30 - 39세",3219,100,3.0,87.9
"2021. 04","남자","40 - 49세",3750,90,2.3,90.1
"2021. 04","남자","50 - 59세",3682,102,2.7,85.9
"2021. 04","남자","60세이상",3029,121,3.8,53.6
"2021. 04","여자","계",11699,494,4.1,51.2
"2021. 04","여자","20 - 29세",1895,177,8.5,58.3
"2021. 04","여자","30 - 39세",2045,97,4.5,61.1
"2021. 04","여자","40 - 49세",2551,80,3.1,63.5
"2021. 04","여자","50 - 59세",2728,73,2.6,64.1
"2021. 04","여자","60세이상",2379,59,2.4,34.8
"2021. 05","계","계",27550,1148,4.0,61.2
"2021. 05","계","20 - 29세",3712,383,9.3,57.3
"2021. 05","계","30 - 39세",5291,181,3.3,75.6
"2021. 05","계","40 - 49세",6327,186,2.9,77.4
"2021. 05","계","50 - 59세",6447,191,2.9,75.5
"2021. 05","계","60세이상",5576,188,3.3,44.5
"2021. 05","남자","계",15645,653,4.0,70.5
"2021. 05","남자","20 - 29세",1785,223,11.1,55.3
"2021. 05","남자","30 - 39세",3228,96,2.9,88.3
"2021. 05","남자","40 - 49세",3749,100,2.6,90.1
"2021. 05","남자","50 - 59세",3692,100,2.6,86.1
"2021. 05","남자","60세이상",3099,124,3.9,54.6
"2021. 05","여자","계",11905,495,4.0,52.1
"2021. 05","여자","20 - 29세",1927,160,7.7,59.2
"2021. 05","여자","30 - 39세",2064,85,4.0,61.7
"2021. 05","여자","40 - 49세",2577,86,3.2,64.3
"2021. 05","여자","50 - 59세",2756,91,3.2,64.8
"2021. 05","여자","60세이상",2477,64,2.5,36.1
"2021. 06","계","계",27637,1093,3.8,61.3
"2021. 06","계","20 - 29세",3764,365,8.8,58.1
"2021. 06","계","30 - 39세",5268,165,3.0,75.4
"2021. 06","계","40 - 49세",6345,169,2.6,77.7
"2021. 06","계","50 - 59세",6445,192,2.9,75.5
"2021. 06","계","60세이상",5620,181,3.1,44.6
"2021. 06","남자","계",15667,613,3.8,70.6
"2021. 06","남자","20 - 29세",1806,198,9.9,56.0
"2021. 06","남자","30 - 39세",3213,87,2.6,88.1
"2021. 06","남자","40 - 49세",3750,91,2.4,90.2
"2021. 06","남자","50 - 59세",3693,99,2.6,86.2
"2021. 06","남자","60세이상",3118,128,3.9,54.6
"2021. 06","여자","계",11970,479,3.9,52.3
"2021. 06","여자","20 - 29세",1959,168,7.9,60.2
"2021. 06","여자","30 - 39세",2055,78,3.6,61.6
"2021. 06","여자","40 - 49세",2595,78,2.9,64.8
"2021. 06","여자","50 - 59세",2753,93,3.3,64.7
"2021. 06","여자","60세이상",2502,53,2.1,36.3
