"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"10404","11380640"
"10405","11380640"
"104062","11710632"
"10408","11380640"
"10409","11380640"
"10410","11380640"
"10411","11380640"
"10412","11380640"
"10413","11380640"
"10414","11380640"
"10416","11380640"
"10417","11380640"
"10418","11380640"
"10419","11380640"
"10420","11380640"
"10421","11380640"
"10422","11380640"
"10423","11380640"
"10424","11380640"
"10425","11380640"
"10426","11380640"
"10428","11380640"
"10429","11680720"
"10431","11380640"
"10432","11380640"
"10434","11380640"
"10435","11380640"
"10436","11380640"
"10438","11380640"
"10440","11380640"
"10441","11380640"
"10442","11380640"
"10443","11380640"
"10444","11380640"
"10445","11380640"
"10446","11380640"
"10447","11380640"
"10448","11380640"
"10449","11380640"
"10450","11380640"
"10451","11380640"
"10452","11380640"
"10453","11380640"
"10454","11380640"
"10455","11380640"
"10456","11380640"
"10458","11380640"
"10459","11380640"
"10460","11380640"
"10461","11530730"
"10462","11380650"
"10463","11380650"
"10464","11380650"
"10465","11380650"
"10467","11230660"
"10468","11380530"
"10470","11380650"
"10471","11380650"
"10472","11380650"
"10474","11230660"
"10475","11380650"
"104765","11320680"
"10478","11530730"
"10479","11380650"
"10480","11380650"
"10482","11380650"
"10483","11380650"
"10484","11380650"
"10485","11380650"
"10486","11380650"
"10487","11380690"
"10488","11380650"
"10490","11380650"
"10492","11380650"
"10493","11380650"
"10494","11380650"
"10495","11380650"
"10496","11380650"
"10497","11380650"
"10499","11680610"
"105","11650530"
"10500","11380650"
"10501","11380650"
"10502","11380650"
"10503","11380650"
"10504","11380650"
"10505","11380650"
"10506","11680720"
"10507","11380530"
"10508","11380625"
"10509","11380650"
"10511","11380650"
"10513","11380650"
"10514","11380650"
"10515","11380650"
"10517","11380650"
"10518","11380650"
"10520","11380650"
"10521","11380650"
"10522","11380650"
"10524","11380650"
"10525","11380650"
"10526","11380650"
"10527","11380650"
"105274","11320680"
"10528","11380650"
"10529","11380650"
"10530","11380650"
"10531","11680720"
"10532","11380650"
"10533","11380690"
"10534","11530730"
"10535","11380650"
"10536","11380650"
"10537","11380650"
"10538","11380650"
"10539","11380650"
"10540","11380650"
"10543","11380650"
"10544","11380650"
"10545","11380650"
"10546","11380650"
"10547","11380650"
"10548","11380650"
"10549","11470650"
"10550","11380650"
"10551","11380650"
"10552","11380650"
"10553","11380650"
"10554","11380650"
"10555","11380650"
"10556","11380650"
"105562","11710631"
"10558","11530730"
"10559","11680720"
"105604","11470560"
"10563","11380650"
"10564","11380650"
"10565","11380650"
"10566","11380650"
"10567","11380650"
"10568","11380650"
"10569","11380650"
"105695","11230610"
"10570","11380650"
"10571","11380650"
"105715","11230610"
"10572","11380690"
"10573","11380650"
"10574","11500510"
"10575","11380690"
"10576","11380650"
"10577","11380650"
"10578","11380650"
"10579","11380650"
"10580","11380650"
"10582","11380650"
"10583","11380650"
"10584","11380650"
"10586","11380650"
"10587","11380650"
"10588","11380650"
"10589","11380650"
"105897","11470560"
"10590","11380650"
"10591","11380650"
"10592","11650530"
"10593","11380650"
"105937","11470560"
"10594","11380650"
"10595","11380650"
"10596","11380650"
"10597","11380650"
"10598","11380650"
"10599","11380690"
"10600","11650530"
"10601","11380650"
"10602","11380650"
"106022","11230610"
"10603","11380650"
"106056","11230650"
"10607","11380650"
"106072","11230650"
"10608","11380650"
"10610","11380690"
"106143","11230610"
"10615","11380690"
"106157","11230650"
"10616","11380690"
"10617","11380690"
"10623","11230660"
"106231","11230650"
"10624","11380690"
"10625","11380690"
"10626","11380690"
"10627","11380690"
"10628","11380690"
"10629","11380690"
"106290","11230650"
"10630","11380690"
"10631","11380690"
"106319","11710631"
"10632","11470620"
"10633","11380690"
"10636","11380690"
"10637","11380690"
"10640","11380690"
