Date,High,Low,Open,Close,Volume,Adj Close
2000-02-11,54600.0,54600.0,54600.0,54600.0,276500.0,51524.14453125
2000-02-14,59600.0,48100.0,52800.0,49400.0,6270500.0,46617.078125
2000-02-15,51800.0,43500.0,50000.0,43500.0,3243000.0,41049.45703125
2000-02-16,48700.0,40000.0,42000.0,48700.0,4357000.0,45956.51953125
2000-02-17,53500.0,47000.0,49200.0,48700.0,5099000.0,45956.51953125
2000-02-18,51300.0,45000.0,50100.0,45600.0,4561500.0,43031.1484375
2000-02-21,45600.0,40300.0,42000.0,41300.0,2943000.0,38973.39453125
2000-02-22,44400.0,38200.0,43000.0,39200.0,2408500.0,36991.6953125
2000-02-23,38600.0,34500.0,37400.0,36000.0,2307500.0,33971.9609375
2000-02-24,40300.0,38000.0,39800.0,40300.0,990500.0,38029.7265625
2000-02-25,44300.0,39600.0,43900.0,40000.0,2525500.0,37746.62890625
2000-02-28,41000.0,36700.0,38000.0,36800.0,2360000.0,34726.89453125
2000-02-29,39000.0,35700.0,38200.0,36800.0,1387000.0,34726.89453125
2000-03-01,36800.0,36800.0,36800.0,36800.0,0.0,34726.89453125
2000-03-02,39000.0,34600.0,38000.0,35900.0,1545000.0,33877.59765625
2000-03-03,33000.0,31600.0,31600.0,31600.0,3083500.0,29819.833984375
2000-03-06,33500.0,28400.0,33000.0,29400.0,2384500.0,27743.765625
2000-03-07,31800.0,27000.0,28300.0,31200.0,2919500.0,29442.369140625
2000-03-08,33400.0,29400.0,29600.0,32000.0,3829000.0,30197.302734375
2000-03-09,35800.0,31000.0,32800.0,35800.0,3285500.0,33783.2265625
2000-03-10,39200.0,33800.0,37000.0,35400.0,4028500.0,33405.765625
2000-03-13,36000.0,31200.0,35400.0,31400.0,2403500.0,29631.099609375
2000-03-14,31000.0,28200.0,28600.0,29100.0,2162500.0,27460.666015625
2000-03-15,30800.0,26800.0,28000.0,28500.0,3103500.0,26894.46875
2000-03-16,31700.0,27700.0,29000.0,29400.0,5300500.0,27743.765625
2000-03-17,29000.0,25900.0,28600.0,25900.0,1771500.0,24440.94140625
2000-03-20,25000.0,22800.0,25000.0,22800.0,1413000.0,21515.57421875
2000-03-21,23500.0,20100.0,20400.0,22000.0,3608000.0,20760.64453125
2000-03-22,24600.0,22600.0,23000.0,22900.0,3315500.0,21609.94140625
2000-03-23,24600.0,21200.0,23900.0,22000.0,2398000.0,20760.64453125
2000-03-24,23200.0,21000.0,22700.0,21800.0,1473500.0,20571.912109375
2000-03-27,23800.0,21100.0,22200.0,23100.0,3130000.0,21798.67578125
2000-03-28,23900.0,22800.0,23200.0,23100.0,1361000.0,21798.67578125
2000-03-29,22800.0,20400.0,22000.0,20600.0,1199500.0,19439.51171875
2000-03-30,23000.0,18200.0,19300.0,23000.0,2942000.0,21704.30859375
2000-03-31,24400.0,20400.0,22300.0,20500.0,3278000.0,19345.14453125
