,일별,save_scaled_train
187,2018-07-07,[0.74793844]
188,2018-07-08,[0.39728345]
189,2018-07-09,[0.6001742]
190,2018-07-10,[0.682466]
191,2018-07-11,[0.68529233]
192,2018-07-12,[0.69665774]
193,2018-07-13,[0.77750641]
194,2018-07-14,[0.76044629]
195,2018-07-15,[0.4739164]
196,2018-07-16,[0.67666284]
197,2018-07-17,[0.74833303]
198,2018-07-18,[0.71906021]
199,2018-07-19,[0.71377291]
200,2018-07-20,[0.80608657]
201,2018-07-21,[0.75635751]
202,2018-07-22,[0.41240276]
203,2018-07-23,[0.73388723]
204,2018-07-24,[0.75329158]
205,2018-07-25,[0.79879565]
206,2018-07-26,[0.80424472]
207,2018-07-27,[0.86591173]
208,2018-07-28,[0.69218683]
209,2018-07-29,[0.43737525]
210,2018-07-30,[0.75790194]
211,2018-07-31,[0.828819]
212,2018-08-01,[0.71233895]
213,2018-08-02,[0.69357781]
214,2018-08-03,[0.74485762]
215,2018-08-04,[0.65105989]
216,2018-08-05,[0.39569498]
217,2018-08-06,[0.64968942]
218,2018-08-07,[0.70872964]
219,2018-08-08,[0.69308916]
220,2018-08-09,[0.66301597]
221,2018-08-10,[0.75887435]
222,2018-08-11,[0.69029242]
223,2018-08-12,[0.36120133]
224,2018-08-13,[0.65801274]
225,2018-08-14,[0.74405113]
226,2018-08-15,[0.497601]
227,2018-08-16,[0.70808314]
228,2018-08-17,[0.74770042]
229,2018-08-18,[0.67600596]
230,2018-08-19,[0.40061948]
231,2018-08-20,[0.66388138]
232,2018-08-21,[0.70235703]
233,2018-08-22,[0.71886845]
234,2018-08-23,[0.65856535]
235,2018-08-24,[0.69460428]
236,2018-08-25,[0.74695416]
237,2018-08-26,[0.37182295]
238,2018-08-27,[0.67955723]
239,2018-08-28,[0.66921798]
240,2018-08-29,[0.71724754]
241,2018-08-30,[0.81157269]
242,2018-08-31,[0.95519728]
243,2018-09-01,[0.73127247]
244,2018-09-02,[0.43096688]
245,2018-09-03,[0.62657475]
246,2018-09-04,[0.71965224]
247,2018-09-05,[0.7178659]
248,2018-09-06,[0.69097419]
249,2018-09-07,[0.7891182]
250,2018-09-08,[0.74751203]
251,2018-09-09,[0.39904809]
252,2018-09-10,[0.67961516]
253,2018-09-11,[0.71771332]
254,2018-09-12,[0.72467742]
255,2018-09-13,[0.7444304]
256,2018-09-14,[0.83223489]
257,2018-09-15,[0.77947145]
258,2018-09-16,[0.48524192]
259,2018-09-17,[0.79242803]
260,2018-09-18,[0.81866281]
261,2018-09-19,[0.81282164]
262,2018-09-20,[0.83648801]
263,2018-09-21,[1.]
264,2018-09-22,[0.86941282]
265,2018-09-23,[0.29472541]
266,2018-09-24,[0.03959938]
267,2018-09-25,[0.26211973]
268,2018-09-26,[0.38101391]
269,2018-09-27,[0.73095853]
270,2018-09-28,[0.9504381]
271,2018-09-29,[0.7344293]
272,2018-09-30,[0.43113085]
273,2018-10-01,[0.71694135]
274,2018-10-02,[0.78115282]
275,2018-10-03,[0.53317871]
276,2018-10-04,[0.69406521]
277,2018-10-05,[0.69489579]
278,2018-10-06,[0.69366653]
279,2018-10-07,[0.45039965]
280,2018-10-08,[0.71933383]
281,2018-10-09,[0.48480134]
282,2018-10-10,[0.66929099]
283,2018-10-11,[0.69128097]
284,2018-10-12,[0.77168738]
285,2018-10-13,[0.74082048]
286,2018-10-14,[0.41753613]
287,2018-10-15,[0.6493331]
288,2018-10-16,[0.68500915]
